n,1000,1072,1150,1233,1322,1417,1520,1630,1748,1874,2009,2154,2310,2477,2656,2848,3054,3275,3511,3765,4037,4329,4642,4977,5337,5722,6136,6579,7055,7565,8111,8697,9326,10000,10723,11498,12328,13219,14175,15199,16298,17475,18738,20092,21544,23101,24771,26561,28480,30539,32745,35112,37649,40370,43288,46416,49770,53367,57224,61359,65793,70548,75646,81113,86975,93260,100000,107227,114976,123285,132194,141747,151991,162975,174753,187382,200923,215443,231013,247708,265609,284804,305386,327455,351119,376494,403702,432876,464159,497702,533670,572237,613591,657933,705480,756463,811131,869749,932603,1000000
AVL,102,75,100,97,79,96,98,106,109,106,89,110,72,106,94,86,110,89,112,121,104,97,106,96,88,95,118,96,98,104,98,95,122,100,97,88,109,81,119,109,106,90,87,112,103,98,104,91,100,116,93,102,100,98,101,90,113,88,117,87,120,114,109,82,116,108,113,90,80,106,91,116,114,101,111,110,102,101,84,108,99,98,120,113,88,115,97,102,126,112,120,103,84,117,115,102,105,101,111,114
BST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBT,101,80,88,101,78,94,104,116,77,94,122,108,96,112,82,93,117,93,97,89,97,101,106,100,99,120,83,95,127,116,98,90,97,78,115,107,95,117,109,85,104,100,87,100,125,128,96,108,100,96,98,102,103,90,106,106,112,83,108,108,120,94,129,110,112,129,120,115,98,99,116,98,126,109,107,146,97,106,107,97,119,102,95,97,95,104,84,117,93,97,120,100,110,112,94,112,108,111,103,101
