n,1000,1007,1014,1021,1028,1036,1043,1050,1058,1065,1073,1080,1088,1095,1103,1111,1119,1126,1134,1142,1150,1158,1167,1175,1183,1191,1200,1208,1217,1225,1234,1242,1251,1260,1269,1278,1287,1296,1305,1314,1323,1333,1342,1351,1361,1370,1380,1390,1399,1409,1419,1429,1439,1449,1459,1470,1480,1490,1501,1511,1522,1533,1544,1554,1565,1576,1587,1599,1610,1621,1632,1644,1656,1667,1679,1691,1703,1714,1727,1739,1751,1763,1776,1788,1801,1813,1826,1839,1852,1865,1878,1891,1904,1918,1931,1945,1958,1972,1986,2000
AVL,6.400000529538374e-06,6.70000008540228e-06,1.695000037216232e-05,8.200000593205914e-06,6.8999997893115506e-06,9.249999948224286e-06,1.5699999494245276e-05,8.600000001024455e-06,6.600000233447645e-06,1.5700000403739978e-05,1.9999999949504854e-05,1.6699999832781032e-05,1.7050000224116957e-05,1.049999991664663e-05,7.499999810534064e-06,7.999999979801942e-06,6.50000038149301e-06,6.8999997893115506e-06,8.299999535665847e-06,1.5749999874969944e-05,1.559999964229064e-05,1.1799999811046291e-05,6.799999937356915e-06,1.2100000276404899e-05,8.399999387620483e-06,6.799999937356915e-06,1.6599999980826396e-05,2.165000023524044e-05,2.1549999928538455e-05,1.5800000255694613e-05,9.650000265537528e-06,1.2600000445672777e-05,6.600000233447645e-06,6.70000008540228e-06,6.70000008540228e-06,6.799999937356915e-06,6.799999937356915e-06,1.6699999832781032e-05,6.70000008540228e-06,6.70000008540228e-06,1.140000040322775e-05,6.8999997893115506e-06,1.6699999832781032e-05,7.100000402715523e-06,1.5750000329717295e-05,2.234999965367024e-05,6.799999937356915e-06,1.0200000360782724e-05,7.499999810534064e-06,1.6900000446185004e-05,6.70000008540228e-06,1.2200000128359534e-05,6.70000008540228e-06,6.8999997893115506e-06,9.000000318337698e-06,6.999999641266186e-06,6.8999997893115506e-06,7.5000007200287655e-06,6.70000008540228e-06,7.599999662488699e-06,6.800000392104266e-06,7.3999999585794285e-06,7.800000275892671e-06,8.300000445160549e-06,7.200000254670158e-06,1.2299999980314169e-05,1.699999984339229e-05,1.0750000001280569e-05,1.680000059423037e-05,6.8999997893115506e-06,1.6999999388644937e-05,8.300000445160549e-06,1.630000042496249e-05,7.900000127847306e-06,6.9000002440589014e-06,6.8999997893115506e-06,6.8999997893115506e-06,6.70000008540228e-06,9.899999895424116e-06,6.799999937356915e-06,1.6900000446185004e-05,6.8999997893115506e-06,6.8999997893115506e-06,6.8999997893115506e-06,6.8999997893115506e-06,1.6899999536690302e-05,6.900000698806252e-06,6.8999997893115506e-06,1.6850000065460335e-05,6.8999997893115506e-06,6.8999997893115506e-06,7.79999936639797e-06,1.7500000467407517e-05,6.799999937356915e-06,6.8999997893115506e-06,6.8999997893115506e-06,6.8999997893115506e-06,1.700000029813964e-05,6.900000698806252e-06,1.650000012887176e-05
BST,1.2999998943996616e-06,2.4000000848900527e-06,2.4000000848900527e-06,3.4000004234258085e-06,1.2000000424450263e-06,1.499999598308932e-06,1.2000000424450263e-06,1.2999998943996616e-06,1.3999997463542968e-06,1.499999598308932e-06,1.3999997463542968e-06,2.3000002329354174e-06,2.4000000848900527e-06,2.4000000848900527e-06,3.5000002753804438e-06,2.4000000848900527e-06,2.4000000848900527e-06,2.6999996407539584e-06,1.2999998943996616e-06,2.4000000848900527e-06,2.7999994927085936e-06,2.4000000848900527e-06,2.349999704165384e-06,1.3000008038943633e-06,1.3999997463542968e-06,4.399999852466863e-06,3.4000004234258085e-06,1.2999998943996616e-06,4.900000021734741e-06,2.600000698294025e-06,1.2999998943996616e-06,1.2999998943996616e-06,3.6999999792897142e-06,3.099999958067201e-06,1.3999997463542968e-06,1.3999997463542968e-06,3.7999998312443495e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.4000006558489986e-06,3.099999958067201e-06,2.499999936844688e-06,1.3999997463542968e-06,1.2999998943996616e-06,2.499999936844688e-06,1.499999598308932e-06,2.499999936844688e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.499999598308932e-06,1.2999998943996616e-06,3.7999998312443495e-06,1.5000005078036338e-06,3.950000063923653e-06,1.500000053056283e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.3999997463542968e-06,2.8000004022032954e-06,2.600000698294025e-06,2.599999788799323e-06,3.899999683198985e-06,1.2999998943996616e-06,3.6999999792897142e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.35000027512433e-06,5.1500001063686796e-06,2.499999936844688e-06,1.6999993022182025e-06,3.6999999792897142e-06,1.2999998943996616e-06,1.600000359758269e-06,2.4000000848900527e-06,2.499999936844688e-06,1.3000003491470125e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.3999997463542968e-06,2.70000055024866e-06,2.499999936844688e-06,3.000000106112566e-06,2.600000243546674e-06,2.6999996407539584e-06,2.499999936844688e-06,4.499999704421498e-06,4.499999704421498e-06,5.500000042957254e-06,2.499999936844688e-06,3.2999996619764715e-06,2.499999936844688e-06,1.499999598308932e-06,3.99999953515362e-06,2.499999936844688e-06,2.499999936844688e-06,1.3999997463542968e-06,1.3999997463542968e-06,2.9000002541579306e-06,2.499999936844688e-06,4.100000296602957e-06
RBT,4.100000296602957e-06,5.099999725644011e-06,6.70000008540228e-06,3.7999998312443495e-06,5.199999577598646e-06,6.24999984211172e-06,2.899999344663229e-06,3.2999996619764715e-06,3.000000106112566e-06,7.79999936639797e-06,6.70000008540228e-06,5.050000254414044e-06,5.200000487093348e-06,6.000000212225132e-06,2.8000004022032954e-06,6.400000529538374e-06,3.899999683198985e-06,5.9000003602704965e-06,5.4000001910026185e-06,7.200000254670158e-06,8.150000212481245e-06,5.200000032345997e-06,8.05000036052661e-06,7.900000127847306e-06,5.200000487093348e-06,6.8999997893115506e-06,4.999999873689376e-06,4.999999873689376e-06,7.800000275892671e-06,3.0500000320898835e-06,7.449999884556746e-06,6.950000170036219e-06,2.9000002541579306e-06,9.700000191514846e-06,4.800000169780105e-06,4.999999873689376e-06,5.2999994295532815e-06,2.999999651365215e-06,7.699999514443334e-06,9.700000191514846e-06,6.100000064179767e-06,5.899999450775795e-06,6.100000064179767e-06,9.500000487605575e-06,7.050000021990854e-06,5.099999725644011e-06,5.450000116979936e-06,2.9000002541579306e-06,3.099999958067201e-06,3.899999683198985e-06,5.2999994295532815e-06,3.1499998840445187e-06,2.9000002541579306e-06,3.900000137946336e-06,7.3999999585794285e-06,3.099999958067201e-06,7.099999493220821e-06,3.899999683198985e-06,3.2999996619764715e-06,7.750000349915354e-06,2.999999651365215e-06,4.200000148557592e-06,3.000000106112566e-06,3.099999958067201e-06,3.099999958067201e-06,3.099999958067201e-06,3.099999958067201e-06,3.000000106112566e-06,2.9000002541579306e-06,2.9000002541579306e-06,3.1999998100218363e-06,3.100000867561903e-06,3.2999996619764715e-06,3.000000106112566e-06,5.549999968934571e-06,2.9000002541579306e-06,5.100000635138713e-06,5.699999746866524e-06,3.3000005714711733e-06,3.499999365885742e-06,4.25000007453491e-06,3.000000106112566e-06,3.1999998100218363e-06,3.2999996619764715e-06,3.5000002753804438e-06,7.200000254670158e-06,7.700000423938036e-06,5.300000339047983e-06,3.200000264769187e-06,3.200000264769187e-06,3.899999683198985e-06,3.200000719516538e-06,3.099999958067201e-06,3.949999609176302e-06,5.599999894911889e-06,3.5500002013577614e-06,8.399999387620483e-06,3.4000004234258085e-06,3.6999999792897142e-06,4.699999408330768e-06
