n,1000,1072,1150,1233,1322,1417,1520,1630,1748,1874,2009,2154,2310,2477,2656,2848,3054,3275,3511,3765,4037,4329,4642,4977,5337,5722,6136,6579,7055,7565,8111,8697,9326,10000,10723,11498,12328,13219,14175,15199,16298,17475,18738,20092,21544,23101,24771,26561,28480,30539,32745,35112,37649,40370,43288,46416,49770,53367,57224,61359,65793,70548,75646,81113,86975,93260,100000,107227,114976,123285,132194,141747,151991,162975,174753,187382,200923,215443,231013,247708,265609,284804,305386,327455,351119,376494,403702,432876,464159,497702,533670,572237,613591,657933,705480,756463,811131,869749,932603,1000000
AVL,6.512000254588202e-06,6.033000317984261e-06,2.8439990273909643e-06,2.8575004762387834e-06,2.828999640769325e-06,2.7820005925605074e-06,2.750500243564602e-06,2.9120001272531226e-06,2.895500074373558e-06,2.7989990485366434e-06,2.8495005608419888e-06,2.909999238909222e-06,2.9379998522927053e-06,2.853000296454411e-06,2.974000381072983e-06,3.011999069713056e-06,3.03599881590344e-06,3.201999788871035e-06,3.029999788850546e-06,3.0390001484192908e-06,3.1740000849822536e-06,3.083498995692935e-06,3.1310000849771313e-06,3.360999471624382e-06,3.326000296510756e-06,3.200000719516538e-06,3.281000317656435e-06,3.3719998100423254e-06,3.422500412852969e-06,3.4074992072419263e-06,3.3970000004046597e-06,3.35000004270114e-06,3.5559987736633047e-06,3.516000106174033e-06,3.577999450499192e-06,3.3999995139311068e-06,3.7384988900157623e-06,3.5954999475507066e-06,3.5729990486288443e-06,3.758999810088426e-06,3.652001396403648e-06,3.5745006243814714e-06,3.733000085048843e-06,3.7610006984323263e-06,3.889000254275743e-06,3.848499545711093e-06,4.0930008253781125e-06,4.132500180276111e-06,4.138499207329005e-06,4.187500053376425e-06,4.349499249656219e-06,1.1116000678157434e-05,3.989000106230378e-06,4.144999365962576e-06,5.186499947740231e-06,4.35699985246174e-06,4.241500391799491e-06,4.345499291957822e-06,4.6314999053720385e-06,4.8340007197111845e-06,4.82700124848634e-06,5.030000465922058e-06,5.111000973556656e-06,4.718998752650805e-06,5.093500476505142e-06,5.003999831387773e-06,5.490999683388509e-06,5.666999641107395e-06,5.637999493046664e-06,5.658999725710601e-06,5.634999979520217e-06,6.01299871050287e-06,6.13999964116374e-06,1.2694999895757064e-05,5.712499842047691e-06,5.896000402572099e-06,5.746999704570044e-06,1.1852500392706133e-05,5.686999429599382e-06,6.2800008890917525e-06,5.972999133518897e-06,8.434000847046264e-06,6.452999514294788e-06,8.197999704862013e-06,9.667999620432965e-06,7.949000064400025e-06,9.911998859024607e-06,7.609500244143419e-06,7.495998943340965e-06,1.2689999493886717e-05,7.2569982876302674e-06,6.395999662345275e-06,6.912998287589289e-06,6.813500476710033e-06,7.101499249984045e-06,7.357999493251555e-06,1.493499985372182e-05,6.972000846872106e-06,1.1760999768739566e-05,1.37624992930796e-05
BST,1.481999788666144e-06,1.402999259880744e-06,1.391499608871527e-06,1.4235001799534075e-06,1.3839999155607074e-06,1.344000338576734e-06,1.3810004020342603e-06,1.4039997040526941e-06,1.4659999578725547e-06,1.3709995982935652e-06,1.4625002222601324e-06,1.4620000001741573e-06,1.485000211687293e-06,1.5289988368749619e-06,1.4390006981557235e-06,1.4479992387350649e-06,1.4209999790182337e-06,1.5180003174464218e-06,1.4759989426238462e-06,1.5549994714092463e-06,1.5139994502533227e-06,1.4634997569373809e-06,1.5699997675255872e-06,1.4899997040629387e-06,1.4660008673672564e-06,1.59599949256517e-06,1.6789999790489674e-06,1.4979996194597334e-06,1.6819994925754145e-06,1.7824995666160248e-06,1.7095007933676243e-06,7.819999154889956e-07,8.53000528877601e-07,1.7515003492007963e-06,1.7049987945938483e-06,1.6694993973942474e-06,1.6825006241560914e-06,8.939996405388229e-07,9.024988685268909e-07,2.0050010789418593e-06,1.967000571312383e-06,1.9290000636829063e-06,1.9270000848337077e-06,1.8499995348975062e-06,9.129998943535611e-07,1.036500179907307e-06,9.520008461549878e-07,1.0320000001229346e-06,2.1549994926317595e-06,2.073001269309316e-06,2.1939995349384844e-06,9.970008250093088e-07,2.1969999579596333e-06,1.9579983927542344e-06,2.0270008462830447e-06,1.2250002328073606e-06,1.1994998203590512e-06,2.357000994379632e-06,2.128999767592177e-06,1.148000592365861e-06,2.134998794645071e-06,1.095999323297292e-06,1.264999809791334e-06,1.1949996405746788e-06,1.5224995877360925e-06,1.5799996617715806e-06,1.4055003703106195e-06,1.436999809811823e-06,1.5799996617715806e-06,1.8255004761158489e-06,2.872999175451696e-06,1.5459991118405014e-06,1.7460006347391754e-06,2.781000148388557e-06,2.7999994927085936e-06,1.8664995877770707e-06,1.755999619490467e-06,2.6255002012476325e-06,2.5699991965666413e-06,1.769998561940156e-06,2.278000465594232e-06,4.075998731423169e-06,2.4339988158317283e-06,2.4324990590685047e-06,1.9780000002356246e-06,2.4330001906491816e-06,1.9899998733308166e-06,1.95199936570134e-06,3.147999450447969e-06,2.6140005502384156e-06,2.1350006136344746e-06,2.5410008674953133e-06,2.6429988793097436e-06,3.4989998312084936e-06,5.949000296823215e-06,2.8779995773220435e-06,5.702000635210425e-06,2.6800007617566735e-06,2.603001121315174e-06,2.539499291742686e-06
RBT,1.4649995137006044e-06,1.9079998310189694e-06,1.395000253978651e-06,1.375999090669211e-06,1.4279994502430782e-06,1.446000169380568e-06,1.5579989849356934e-06,1.9880008039763197e-06,1.4335000741994008e-06,1.8759983504423872e-06,1.525000698165968e-06,1.5339992387453094e-06,1.7234997358173132e-06,1.535999217594508e-06,2.0349998521851376e-06,3.8880007195984945e-06,4.506000550463796e-06,1.645500560698565e-06,1.5739988157292828e-06,1.6469984984723851e-06,1.61500065587461e-06,1.5694995454396121e-06,1.6755002434365451e-06,2.0450006559258327e-06,1.6105004760902375e-06,2.156999471480958e-06,2.1149990061530843e-06,4.108500434085727e-06,1.6310004866681993e-06,3.8785001379437745e-06,2.0570005290210247e-06,2.10899997910019e-06,2.0450006559258327e-06,1.780500497261528e-06,1.848999090725556e-06,1.7170004866784438e-06,1.767499270499684e-06,4.102999810129404e-06,5.07300046592718e-06,4.363000698504038e-06,2.092001523124054e-06,1.7969996406463906e-06,1.958501343324315e-06,2.1010000637033954e-06,2.1015002857893705e-06,1.9239996618125588e-06,1.9239996618125588e-06,2.40400004258845e-06,4.308500137994997e-06,2.2249996618484147e-06,2.3784996301401407e-06,2.0000006770715117e-06,5.320500349625945e-06,4.939999598718714e-06,5.235000571701676e-06,5.529000191017985e-06,5.475999387272168e-06,5.724500624637585e-06,5.097999746794812e-06,4.7220000851666555e-06,2.3989996407181025e-06,6.213998858584091e-06,2.5500003175693564e-06,2.575499820522964e-06,2.6729994715424255e-06,4.7719986469019204e-06,5.952000719844364e-06,5.47600029676687e-06,5.844500265084207e-06,5.771999894932378e-06,6.304999260464683e-06,7.779999577905983e-06,7.562000064353924e-06,6.126001608208753e-06,6.484498953795992e-06,6.3454999690293334e-06,5.9539997891988605e-06,3.1649997254135087e-06,3.167000613757409e-06,3.27199995808769e-06,3.3029991755029187e-06,4.606001311913133e-06,6.620000931434333e-06,6.642500011366792e-06,9.594001312507316e-06,8.336999599123374e-06,8.149998393491842e-06,4.912000804324634e-06,7.604998245369643e-06,6.917998689459637e-06,3.769000613829121e-06,3.7890004023211077e-06,4.428000465850346e-06,5.412499376689084e-06,3.839000783045776e-06,3.893999746651389e-06,3.891998858307488e-06,8.90199953573756e-06,4.542998794931918e-06,4.813000487047248e-06
