n,1000,1007,1014,1021,1028,1036,1043,1050,1058,1065,1073,1080,1088,1095,1103,1111,1119,1126,1134,1142,1150,1158,1167,1175,1183,1191,1200,1208,1217,1225,1234,1242,1251,1260,1269,1278,1287,1296,1305,1314,1323,1333,1342,1351,1361,1370,1380,1390,1399,1409,1419,1429,1439,1449,1459,1470,1480,1490,1501,1511,1522,1533,1544,1554,1565,1576,1587,1599,1610,1621,1632,1644,1656,1667,1679,1691,1703,1714,1727,1739,1751,1763,1776,1788,1801,1813,1826,1839,1852,1865,1878,1891,1904,1918,1931,1945,1958,1972,1986,2000
AVL,1.2200000128359534e-05,1.1699999959091656e-05,6.600000233447645e-06,7.1499998739454895e-06,6.70000008540228e-06,1.0400000064691994e-05,1.1699999959091656e-05,6.70000008540228e-06,6.800000846851617e-06,1.1699999959091656e-05,1.1799999811046291e-05,6.50000038149301e-06,6.70000008540228e-06,1.609999981155852e-05,7.099999493220821e-06,1.1899999663000926e-05,1.2200000128359534e-05,1.140000040322775e-05,1.5700000403739978e-05,8.399999842367833e-06,6.9000002440589014e-06,6.8999997893115506e-06,1.2099999821657548e-05,1.1899999663000926e-05,6.8999997893115506e-06,1.7100000150094274e-05,1.2599999536178075e-05,7.200000254670158e-06,1.0000000656873453e-05,6.600000233447645e-06,6.8999997893115506e-06,7.200000254670158e-06,1.6799999684735667e-05,6.999999641266186e-06,1.609999981155852e-05,1.5699999494245276e-05,7.099999493220821e-06,6.799999937356915e-06,1.159999965238967e-05,6.799999937356915e-06,6.8999997893115506e-06,1.559999964229064e-05,6.799999937356915e-06,1.699999984339229e-05,6.70000008540228e-06,1.1399999493733048e-05,6.900000698806252e-06,7.100000402715523e-06,1.6400000276917126e-05,7.0000005507608876e-06,6.999999641266186e-06,7.000000096013537e-06,8.099999831756577e-06,1.1849999737023609e-05,6.950000170036219e-06,9.399999726156238e-06,1.2800000149582047e-05,7.599999662488699e-06,7.2999991971300915e-06,1.6599999980826396e-05,1.6900000446185004e-05,1.2200000128359534e-05,1.140000040322775e-05,8.50000014906982e-06,6.8999997893115506e-06,1.7099999240599573e-05,1.60499998855812e-05,7.800000275892671e-06,7.949999599077273e-06,7.0000005507608876e-06,6.8999997893115506e-06,7.100000402715523e-06,6.8999997893115506e-06,1.0149999980058055e-05,1.7150000076071592e-05,6.999999641266186e-06,6.999999641266186e-06,7.0000005507608876e-06,9.300000783696305e-06,8.700000762473792e-06,1.6999999388644937e-05,7.099999493220821e-06,7.100000402715523e-06,6.999999641266186e-06,6.900000698806252e-06,6.999999641266186e-06,7.0000005507608876e-06,1.680000059423037e-05,1.5700000403739978e-05,6.999999641266186e-06,7.0000005507608876e-06,6.900000698806252e-06,7.199999345175456e-06,7.199999799922807e-06,7.099999947968172e-06,7.199999799922807e-06,7.1499998739454895e-06,7.100000402715523e-06,7.100000402715523e-06,7.199999345175456e-06
BST,2.399999175395351e-06,2.599999788799323e-06,2.499999936844688e-06,1.3999997463542968e-06,2.099999619531445e-06,2.399999630142702e-06,2.599999788799323e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.2999998943996616e-06,2.4000000848900527e-06,1.3999997463542968e-06,1.2999998943996616e-06,2.4000000848900527e-06,2.4000000848900527e-06,2.099999619531445e-06,1.4000006558489986e-06,2.4000000848900527e-06,2.4000000848900527e-06,1.499999598308932e-06,1.3999997463542968e-06,2.499999936844688e-06,2.499999936844688e-06,2.600000698294025e-06,2.499999936844688e-06,2.599999788799323e-06,2.599999788799323e-06,1.3999997463542968e-06,1.4000006558489986e-06,1.3999997463542968e-06,3.600000127335079e-06,2.499999936844688e-06,2.600000698294025e-06,2.5000008463393897e-06,2.499999936844688e-06,1.3999997463542968e-06,4.099999841855606e-06,2.599999788799323e-06,2.4000000848900527e-06,1.2999998943996616e-06,1.3999997463542968e-06,2.4000000848900527e-06,3.600000127335079e-06,1.3999997463542968e-06,1.3000008038943633e-06,4.000000444648322e-06,1.4000002011016477e-06,1.4000006558489986e-06,1.5000005078036338e-06,3.5000002753804438e-06,2.6999996407539584e-06,2.4500000108673703e-06,1.2999998943996616e-06,2.499999936844688e-06,1.3999997463542968e-06,3.7999998312443495e-06,2.499999936844688e-06,2.599999788799323e-06,1.8000000636675395e-06,1.4000006558489986e-06,1.7000002117129043e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.600000359758269e-06,3.899999683198985e-06,1.3999997463542968e-06,3.850000211969018e-06,2.4000000848900527e-06,2.599999788799323e-06,2.599999788799323e-06,2.6999996407539584e-06,1.8999999156221747e-06,2.6999996407539584e-06,2.4000000848900527e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.4000006558489986e-06,1.3999997463542968e-06,1.499999598308932e-06,1.499999598308932e-06,1.3999997463542968e-06,2.4000000848900527e-06,2.499999936844688e-06,3.6999999792897142e-06,2.499999936844688e-06,5.099999725644011e-06,3.7999998312443495e-06,2.6999996407539584e-06,2.499999936844688e-06,2.7999994927085936e-06,2.899999344663229e-06,2.600000698294025e-06,2.6999996407539584e-06,1.4000006558489986e-06,2.499999936844688e-06,2.499999936844688e-06,2.6999996407539584e-06,3.7999998312443495e-06,2.599999788799323e-06
RBT,2.9000002541579306e-06,7.200000254670158e-06,5.299999884300632e-06,3.249999735999154e-06,3.099999958067201e-06,2.9000002541579306e-06,4.000000444648322e-06,7.0000005507608876e-06,5.4000001910026185e-06,4.599999556376133e-06,5.7999995988211595e-06,4.999999873689376e-06,5.500000042957254e-06,5.0499997996666934e-06,9.450000106880907e-06,5.699999746866524e-06,2.999999196617864e-06,6.099999154685065e-06,6.600000233447645e-06,5.599999894911889e-06,3.3999995139311068e-06,4.100000296602957e-06,2.9499997253878973e-06,4.100000296602957e-06,7.300000106624793e-06,3.2999996619764715e-06,3.000000106112566e-06,3.99999953515362e-06,3.200000264769187e-06,5.2999994295532815e-06,3.000000106112566e-06,4.000000444648322e-06,9.100000170292333e-06,3.099999958067201e-06,3.100000867561903e-06,6.999999641266186e-06,6.24999984211172e-06,8.600000001024455e-06,4.89999956698739e-06,3.3000001167238224e-06,9.000000318337698e-06,5.800000508315861e-06,3.099999958067201e-06,7.100000402715523e-06,5.950000286247814e-06,5.500000042957254e-06,5.500000042957254e-06,4.200000148557592e-06,3.1999998100218363e-06,3.899999683198985e-06,3.3000005714711733e-06,3.000000106112566e-06,3.3999999686784577e-06,3.099999958067201e-06,3.200000264769187e-06,5.100000635138713e-06,3.600000127335079e-06,5.4000001910026185e-06,3.1999998100218363e-06,3.200000264769187e-06,3.200000264769187e-06,3.1999998100218363e-06,4.599999556376133e-06,3.099999958067201e-06,9.299999874201603e-06,3.2999996619764715e-06,3.1999998100218363e-06,5.6500002756365575e-06,3.7999998312443495e-06,3.1999998100218363e-06,3.000000106112566e-06,3.2999996619764715e-06,3.099999958067201e-06,4.300000000512227e-06,3.099999958067201e-06,3.099999958067201e-06,3.099999958067201e-06,3.099999958067201e-06,5.699999746866524e-06,3.099999958067201e-06,3.600000127335079e-06,3.999999989900971e-06,3.450000349403126e-06,7.999999979801942e-06,3.099999958067201e-06,4.100000296602957e-06,3.3000005714711733e-06,3.5499997466104105e-06,3.1499998840445187e-06,3.599999672587728e-06,3.099999958067201e-06,3.4000004234258085e-06,4.200000148557592e-06,3.5500002013577614e-06,3.099999958067201e-06,9.849999969446799e-06,3.200000264769187e-06,5.099999725644011e-06,3.5999992178403772e-06,5.300000339047983e-06
