n,1000,1007,1014,1021,1028,1036,1043,1050,1058,1065,1073,1080,1088,1095,1103,1111,1119,1126,1134,1142,1150,1158,1167,1175,1183,1191,1200,1208,1217,1225,1234,1242,1251,1260,1269,1278,1287,1296,1305,1314,1323,1333,1342,1351,1361,1370,1380,1390,1399,1409,1419,1429,1439,1449,1459,1470,1480,1490,1501,1511,1522,1533,1544,1554,1565,1576,1587,1599,1610,1621,1632,1644,1656,1667,1679,1691,1703,1714,1727,1739,1751,1763,1776,1788,1801,1813,1826,1839,1852,1865,1878,1891,1904,1918,1931,1945,1958,1972,1986,2000
AVL,6.900000698806252e-06,6.70000008540228e-06,1.5799999800947262e-05,6.950000170036219e-06,1.559999964229064e-05,7.300000106624793e-06,1.1799999811046291e-05,6.799999937356915e-06,6.900000698806252e-06,8.300000445160549e-06,6.400000529538374e-06,7.050000476738205e-06,1.114999986384646e-05,7.550000191258732e-06,6.649999704677612e-06,2.0899999981338624e-05,6.400000529538374e-06,6.600000233447645e-06,2.1500000002561137e-05,6.6500001594249625e-06,1.5800000255694613e-05,6.950000170036219e-06,6.849999863334233e-06,2.069999936793465e-05,8.400000297115184e-06,6.499999471998308e-06,6.600000233447645e-06,1.320000046689529e-05,6.799999937356915e-06,6.999999641266186e-06,6.70000008540228e-06,1.1950000043725595e-05,6.799999937356915e-06,1.5900000107649248e-05,6.70000008540228e-06,6.999999641266186e-06,6.600000233447645e-06,6.8999997893115506e-06,6.849999863334233e-06,6.70000008540228e-06,9.200000022246968e-06,6.70000008540228e-06,7.699999514443334e-06,8.349999916390516e-06,1.6850000065460335e-05,6.70000008540228e-06,1.6850000065460335e-05,6.699999175907578e-06,6.600000233447645e-06,1.7100000150094274e-05,1.6899999536690302e-05,6.70000008540228e-06,1.6899999536690302e-05,6.850000318081584e-06,6.800000392104266e-06,6.699999175907578e-06,6.70000008540228e-06,1.2099999366910197e-05,1.2100000276404899e-05,6.799999937356915e-06,6.999999641266186e-06,1.6900000446185004e-05,9.699999282020144e-06,6.999999641266186e-06,7.0000005507608876e-06,6.8999997893115506e-06,7.350000032602111e-06,1.6799999684735667e-05,6.799999937356915e-06,7.700000423938036e-06,8.89999955688836e-06,7.099999493220821e-06,6.799999937356915e-06,6.8999997893115506e-06,7.199999799922807e-06,7.100000402715523e-06,8.400000297115184e-06,7.900000127847306e-06,8.200000593205914e-06,8.999999408842996e-06,7.599999662488699e-06,9.100000170292333e-06,7.300000106624793e-06,7.199999345175456e-06,1.6900000446185004e-05,6.900000698806252e-06,7.0000005507608876e-06,6.9000002440589014e-06,7.599999662488699e-06,6.9000002440589014e-06,1.6899999536690302e-05,7.300000106624793e-06,6.8999997893115506e-06,6.8999997893115506e-06,6.799999937356915e-06,6.800000392104266e-06,7.100000402715523e-06,6.999999641266186e-06,7.300000106624793e-06,7.099999493220821e-06
BST,3.4000004234258085e-06,2.600000698294025e-06,2.349999704165384e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.99999976757681e-06,3.6999999792897142e-06,1.2999998943996616e-06,2.499999936844688e-06,1.3999997463542968e-06,4.300000000512227e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.3999997463542968e-06,4.099999387108255e-06,2.499999936844688e-06,1.2999998943996616e-06,1.2999998943996616e-06,4.000000444648322e-06,1.2999998943996616e-06,2.499999936844688e-06,1.2999998943996616e-06,4.799999260285404e-06,1.499999598308932e-06,2.499999936844688e-06,3.7999998312443495e-06,1.4000006558489986e-06,3.5000002753804438e-06,3.6999999792897142e-06,4.900000021734741e-06,2.499999936844688e-06,3.3000005714711733e-06,1.2999998943996616e-06,3.7999998312443495e-06,3.6999999792897142e-06,1.2999998943996616e-06,1.5999994502635673e-06,1.4000006558489986e-06,1.499999598308932e-06,1.2999998943996616e-06,2.499999936844688e-06,2.4000000848900527e-06,4.5000006139162e-06,2.4000000848900527e-06,1.3999997463542968e-06,1.3000008038943633e-06,1.600000359758269e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.3999997463542968e-06,2.600000698294025e-06,4.500000159168849e-06,3.7999998312443495e-06,2.4000000848900527e-06,1.3999997463542968e-06,1.3999997463542968e-06,4.900000021734741e-06,1.3999997463542968e-06,1.3999997463542968e-06,4.100000296602957e-06,4.200000148557592e-06,1.499999598308932e-06,3.6999999792897142e-06,1.3999997463542968e-06,3.99999953515362e-06,2.70000055024866e-06,3.1999998100218363e-06,2.599999788799323e-06,1.499999598308932e-06,1.499999598308932e-06,1.3999997463542968e-06,3.7999998312443495e-06,1.3999997463542968e-06,1.499999598308932e-06,1.2999998943996616e-06,1.3999997463542968e-06,2.499999936844688e-06,1.3999997463542968e-06,1.5000005078036338e-06,3.6999999792897142e-06,1.3999997463542968e-06,1.499999598308932e-06,1.4000006558489986e-06,1.2999998943996616e-06,1.499999598308932e-06,3.99999953515362e-06,4.399999852466863e-06,1.3999997463542968e-06,1.499999598308932e-06,3.1999998100218363e-06,2.600000698294025e-06,4.300000000512227e-06,2.499999936844688e-06,3.600000127335079e-06,3.99999953515362e-06,3.9000005926936865e-06,1.499999598308932e-06,2.599999788799323e-06,1.499999598308932e-06,1.3999997463542968e-06
RBT,3.4000004234258085e-06,4.100000296602957e-06,3.999999989900971e-06,7.550000191258732e-06,4.000000444648322e-06,4.999999873689376e-06,3.099999958067201e-06,7.100000402715523e-06,8.299999535665847e-06,6.70000008540228e-06,7.050000021990854e-06,5.099999725644011e-06,3.7999998312443495e-06,4.000000444648322e-06,4.000000444648322e-06,3.000000106112566e-06,3.6999999792897142e-06,3.1999998100218363e-06,4.000000444648322e-06,7.100000402715523e-06,3.3999995139311068e-06,3.1500003387918696e-06,3.849999757221667e-06,3.99999953515362e-06,9.299999874201603e-06,3.4000004234258085e-06,3.3999995139311068e-06,4.550000539893517e-06,3.000000106112566e-06,6.849999863334233e-06,3.6999999792897142e-06,4.7999997150327545e-06,4.100000296602957e-06,4.000000444648322e-06,3.1999998100218363e-06,3.099999958067201e-06,5.0499997996666934e-06,5.9000003602704965e-06,7.100000402715523e-06,3.099999958067201e-06,6.8999997893115506e-06,8.999999408842996e-06,3.99999953515362e-06,7.099999493220821e-06,3.3999995139311068e-06,2.9499997253878973e-06,4.200000148557592e-06,3.000000106112566e-06,3.200000719516538e-06,2.9000002541579306e-06,4.100000296602957e-06,6.70000008540228e-06,2.999999196617864e-06,3.000000106112566e-06,7.0000005507608876e-06,4.200000148557592e-06,3.099999958067201e-06,4.499999704421498e-06,3.5000002753804438e-06,3.7500003600143827e-06,3.000000106112566e-06,3.849999757221667e-06,3.000000106112566e-06,3.099999958067201e-06,3.3000005714711733e-06,3.1999998100218363e-06,3.000000106112566e-06,3.000000106112566e-06,3.950000063923653e-06,3.7999998312443495e-06,3.099999958067201e-06,3.600000127335079e-06,3.99999953515362e-06,2.9000002541579306e-06,3.099999958067201e-06,7.199999799922807e-06,3.099999958067201e-06,3.4000004234258085e-06,2.9000002541579306e-06,3.6999999792897142e-06,3.5000002753804438e-06,2.9000002541579306e-06,7.250000180647476e-06,7.600000571983401e-06,5.200000487093348e-06,1.0099999599333387e-05,5.199999577598646e-06,3.3000001167238224e-06,2.999999651365215e-06,2.9000002541579306e-06,3.899999683198985e-06,2.9000002541579306e-06,3.000000106112566e-06,3.349999587953789e-06,4.1500002225802746e-06,3.3999995139311068e-06,3.2999996619764715e-06,3.5999992178403772e-06,3.5000002753804438e-06,3.000000106112566e-06
