n,1000,1007,1014,1021,1028,1036,1043,1050,1058,1065,1073,1080,1088,1095,1103,1111,1119,1126,1134,1142,1150,1158,1167,1175,1183,1191,1200,1208,1217,1225,1234,1242,1251,1260,1269,1278,1287,1296,1305,1314,1323,1333,1342,1351,1361,1370,1380,1390,1399,1409,1419,1429,1439,1449,1459,1470,1480,1490,1501,1511,1522,1533,1544,1554,1565,1576,1587,1599,1610,1621,1632,1644,1656,1667,1679,1691,1703,1714,1727,1739,1751,1763,1776,1788,1801,1813,1826,1839,1852,1865,1878,1891,1904,1918,1931,1945,1958,1972,1986,2000
AVL,8.50000014906982e-06,1.2999999853491317e-05,7.300000106624793e-06,1.7099999695346924e-05,1.6850000065460335e-05,7.200000254670158e-06,6.70000008540228e-06,1.1999999514955562e-05,1.5700000403739978e-05,6.400000529538374e-06,6.400000529538374e-06,1.2099999366910197e-05,1.1800000265793642e-05,1.694999946266762e-05,1.1299999641778413e-05,1.2400000741763506e-05,6.599999323952943e-06,6.8999997893115506e-06,1.1999999514955562e-05,6.600000233447645e-06,7.100000402715523e-06,1.1199999789823778e-05,6.799999937356915e-06,1.4600000213249587e-05,6.600000233447645e-06,6.70000008540228e-06,1.1900000572495628e-05,1.2200000128359534e-05,6.8999997893115506e-06,9.800000043469481e-06,1.0849999853235204e-05,8.649999927001772e-06,6.999999641266186e-06,1.1699999959091656e-05,1.2099999366910197e-05,7.100000402715523e-06,1.6850000065460335e-05,1.185000019177096e-05,6.600000233447645e-06,6.70000008540228e-06,9.599999430065509e-06,6.600000233447645e-06,1.6799999684735667e-05,1.1500000255182385e-05,6.799999937356915e-06,1.1999999969702912e-05,6.699999630654929e-06,6.70000008540228e-06,6.70000008540228e-06,6.70000008540228e-06,1.5700000403739978e-05,1.5600000551785342e-05,7.599999662488699e-06,6.70000008540228e-06,7.749999895168003e-06,7.199999345175456e-06,6.799999937356915e-06,7.599999662488699e-06,1.5999999959603883e-05,6.750000011379598e-06,6.799999937356915e-06,6.9000002440589014e-06,2.4699999812582973e-05,1.939999947353499e-05,7.599999662488699e-06,1.7800000023271423e-05,2.0799999674636638e-05,7.300000106624793e-06,1.2600000445672777e-05,6.799999937356915e-06,1.6899999536690302e-05,6.799999937356915e-06,6.799999937356915e-06,6.750000011379598e-06,7.200000254670158e-06,7.100000402715523e-06,8.199999683711212e-06,8.399999387620483e-06,8.799999704933725e-06,8.199999683711212e-06,7.800000275892671e-06,7.0000005507608876e-06,6.8999997893115506e-06,6.8999997893115506e-06,6.8999997893115506e-06,7.300000106624793e-06,7.200000254670158e-06,7.3999999585794285e-06,7.100000402715523e-06,7.500000265281415e-06,6.799999937356915e-06,6.900000698806252e-06,6.8999997893115506e-06,1.6899999991437653e-05,7.300000106624793e-06,1.624999958949047e-05,6.9000002440589014e-06,6.900000698806252e-06,8.900000466383062e-06,1.6899999536690302e-05
BST,4.499999704421498e-06,2.4000000848900527e-06,2.599999788799323e-06,5.0499997996666934e-06,2.4000000848900527e-06,2.3000002329354174e-06,3.7999998312443495e-06,4.900000021734741e-06,2.600000698294025e-06,1.5999994502635673e-06,6.100000064179767e-06,1.3999997463542968e-06,2.499999936844688e-06,1.4000006558489986e-06,3.5000002753804438e-06,1.2999998943996616e-06,2.3000002329354174e-06,2.599999788799323e-06,2.499999936844688e-06,2.4000000848900527e-06,2.8000004022032954e-06,2.3000002329354174e-06,2.499999936844688e-06,2.499999936844688e-06,2.4000000848900527e-06,1.3999997463542968e-06,1.4000006558489986e-06,3.4000004234258085e-06,3.3999999686784577e-06,1.5000005078036338e-06,3.5499997466104105e-06,1.3999997463542968e-06,1.2999998943996616e-06,1.600000359758269e-06,3.3999995139311068e-06,1.4000006558489986e-06,1.5999994502635673e-06,2.2999997781880666e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.3000008038943633e-06,1.5999994502635673e-06,1.2999998943996616e-06,1.2999998943996616e-06,1.600000359758269e-06,3.6999999792897142e-06,1.3999997463542968e-06,1.2999998943996616e-06,1.2999998943996616e-06,2.4000000848900527e-06,2.5000008463393897e-06,1.3000008038943633e-06,2.4000000848900527e-06,3.600000127335079e-06,1.3999997463542968e-06,1.600000359758269e-06,2.499999936844688e-06,2.4000000848900527e-06,2.499999936844688e-06,1.2999998943996616e-06,1.3000008038943633e-06,3.6999999792897142e-06,1.499999598308932e-06,1.600000359758269e-06,2.4000000848900527e-06,3.600000127335079e-06,1.499999598308932e-06,2.499999936844688e-06,1.2999998943996616e-06,1.499999598308932e-06,2.100000529026147e-06,1.7000002117129043e-06,1.3999997463542968e-06,1.4000006558489986e-06,1.7000002117129043e-06,1.3999997463542968e-06,3.5000002753804438e-06,1.3999997463542968e-06,1.3999997463542968e-06,1.6999993022182025e-06,1.3999997463542968e-06,3.5000002753804438e-06,1.2999998943996616e-06,1.3999997463542968e-06,2.4000000848900527e-06,2.499999936844688e-06,2.899999344663229e-06,4.0499999158782884e-06,1.4000002011016477e-06,1.3000008038943633e-06,3.1999998100218363e-06,2.599999788799323e-06,1.3000008038943633e-06,1.3999997463542968e-06,1.499999598308932e-06,2.4000000848900527e-06,2.8999997994105797e-06,1.5000005078036338e-06,1.4000006558489986e-06,1.3999997463542968e-06
RBT,1.0599999768601265e-05,5.100000635138713e-06,2.9500001801352482e-06,5.0499997996666934e-06,5.7999995988211595e-06,4.949999947712058e-06,3.7999998312443495e-06,5.300000339047983e-06,3.899999683198985e-06,6.600000233447645e-06,5.300000339047983e-06,5.249999958323315e-06,5.599999894911889e-06,7.350000032602111e-06,6.24999984211172e-06,4.999999873689376e-06,6.70000008540228e-06,7.3999999585794285e-06,6.600000233447645e-06,2.9500001801352482e-06,5.200000032345997e-06,6.8999997893115506e-06,3.249999735999154e-06,5.300000339047983e-06,4.999999873689376e-06,4.999999873689376e-06,2.8000004022032954e-06,5.699999746866524e-06,3.000000106112566e-06,4.100000296602957e-06,7.249999725900125e-06,5.249999503575964e-06,5.200000487093348e-06,9.200000022246968e-06,6.8999997893115506e-06,5.099999725644011e-06,5.599999894911889e-06,4.300000000512227e-06,6.4000000747910235e-06,5.199999577598646e-06,2.9000002541579306e-06,3.099999958067201e-06,4.200000148557592e-06,3.000000106112566e-06,7.199999799922807e-06,4.099999387108255e-06,3.99999953515362e-06,4.600000465870835e-06,3.899999683198985e-06,9.299999874201603e-06,3.099999958067201e-06,3.3999995139311068e-06,3.000000106112566e-06,2.9000002541579306e-06,9.349999800178921e-06,3.100000867561903e-06,3.000000106112566e-06,3.899999683198985e-06,3.99999953515362e-06,5.700000201613875e-06,3.99999953515362e-06,3.899999683198985e-06,3.5000002753804438e-06,3.2999996619764715e-06,2.999999196617864e-06,3.000000106112566e-06,4.349999926489545e-06,3.000000106112566e-06,4.100000296602957e-06,3.000000106112566e-06,9.299999874201603e-06,3.099999958067201e-06,4.800000169780105e-06,4.300000000512227e-06,3.3000001167238224e-06,4.699999408330768e-06,3.899999683198985e-06,5.100000635138713e-06,3.000000106112566e-06,7.499999810534064e-06,3.849999757221667e-06,3.999999989900971e-06,3.1499998840445187e-06,3.099999958067201e-06,2.9000002541579306e-06,3.1999998100218363e-06,4.999999873689376e-06,1.3100000160193304e-05,1.0150000434805406e-05,8.900000011635711e-06,6.399999620043673e-06,1.0799999472510535e-05,1.0000000656873453e-05,1.0099999599333387e-05,5.700000656361226e-06,3.0500000320898835e-06,2.899999344663229e-06,3.1999998100218363e-06,6.900000698806252e-06,3.200000719516538e-06
